id,city,position,salary,link
49,Уфа,Водитель-курьер с личным автомобилем,от 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/52115231/
50,Уфа,Курьер на велосипеде,по договоренности,https://bashkortostan.rabota.ru/vacancy/52113747/
51,Стерлитамак,Грузчик-разнорабочий,35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/51694227/
52,Уфа,Курьер,от 95 000 руб.,https://bashkortostan.rabota.ru/vacancy/50312842/
53,Уфа,Специалист пропускного контроля (охранник),50 100 — 75 100 руб.,https://bashkortostan.rabota.ru/vacancy/48267959/
54,Уфа,Врач-офтальмолог,190 000 — 210 000 руб.,https://bashkortostan.rabota.ru/vacancy/52111606/
55,Уфа,Курьер,до 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/49841396/
56,Уфа,Токарь,от 55 000 руб.,https://bashkortostan.rabota.ru/vacancy/32541187/
57,Уфа,Слесарь механосборочных работ,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/34783106/
58,Уфа,Бухгалтер по УСН,65 000 — 85 000 руб.,https://bashkortostan.rabota.ru/vacancy/51629061/
59,Кострома,Оператор call-центра (удаленно),25 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50491664/
60,Уфа,Инженер-электрик по обслуживанию буровых (электропривод),по договоренности,https://bashkortostan.rabota.ru/vacancy/51934781/
61,Уфа,Мастер по эксплуатации оборудования,70 000 — 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/51918525/
62,Нефтекамск,Контролер технического состояния автомобилей,70 100 — 81 000 руб.,https://bashkortostan.rabota.ru/vacancy/51918445/
63,Уфа,Бухгалтер первички,45 000 — 47 000 руб.,https://bashkortostan.rabota.ru/vacancy/51722755/
64,Уфа,Детский стоматолог,от 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/51629790/
65,Уфа,"Продавец-консультант в магазин ""Бельё&Колготки""",40 000 руб.,https://bashkortostan.rabota.ru/vacancy/47624297/
66,Уфа,Охранник-контролер,25 000 — 30 000 руб.,https://bashkortostan.rabota.ru/vacancy/38431671/
67,Уфа,Менеджер по оптовым продажам,от 70 000 руб.,https://bashkortostan.rabota.ru/vacancy/32245840/
68,,,,https://bashkortostan.rabota.ru/vacancy/52121773/
69,Уфа,Автомойщик,25 000 — 35 000 руб.,https://bashkortostan.rabota.ru/vacancy/45723758/
70,Уфа,Слесарь-чистильщик,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/50084873/
71,Уфа,Контролер техники Apple,от 62 600 руб.,https://bashkortostan.rabota.ru/vacancy/51952589/
72,Архангельск,Оператор call-центра (удаленно),35 000 — 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/50345446/
73,Курск,Консультант интернет-магазина бытовой техники,40 000 — 70 000 руб.,https://bashkortostan.rabota.ru/vacancy/50435022/
74,Курск,Менеджер магазина бытовой техники,45 000 — 70 000 руб.,https://bashkortostan.rabota.ru/vacancy/50375167/
75,Иваново,Оператор входящей/исходящей линии (удаленно),35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/52222474/
76,Уфа,Охранник,23 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/41578484/
77,,,,https://bashkortostan.rabota.ru/vacancy/52132404/
78,Уфа,Расклейщик объявлений,16 000 — 32 000 руб.,https://bashkortostan.rabota.ru/vacancy/52122553/
79,,,,https://bashkortostan.rabota.ru/vacancy/52122230/
80,Уфа,Водитель-курьер,91 000 — 124 500 руб.,https://bashkortostan.rabota.ru/vacancy/52259360/
81,,,,https://bashkortostan.rabota.ru/vacancy/47121518/
82,Архангельск,Оператор call-центра (входящие звонки),35 000 — 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/50491614/
83,Уфа,Повар холодного / горячего цеха (ТРЦ МЕГА),60 000 — 90 000 руб.,https://bashkortostan.rabota.ru/vacancy/51554929/
